Date,Total cases,Total deaths,Total recovered,Active cases
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,4,0,0,4
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,3,0,0,3
2020-01-29,0,0,0,0
2020-01-30,1,0,0,1
2020-01-31,0,0,0,0
2020-02-1,0,0,0,0
2020-02-2,0,0,0,0
2020-02-3,0,0,0,0
2020-02-4,2,0,1,1
2020-02-5,2,0,0,2
2020-02-6,2,0,0,2
2020-02-7,1,0,0,1
2020-02-8,1,0,1,0
2020-02-9,1,0,1,0
2020-02-10,1,0,0,1
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,1,0,0,1
2020-02-14,0,0,4,-4
2020-02-15,2,0,0,2
2020-02-16,1,0,1,0
2020-02-17,0,0,1,-1
2020-02-18,0,0,2,-2
2020-02-19,0,0,4,-4
2020-02-20,0,0,2,-2
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,1,-1
2020-02-24,0,0,2,-2
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,1,0,2,-1
2020-02-28,2,0,0,2
2020-02-29,0,0,0,0
2020-03-1,4,0,0,4
2020-03-2,0,0,0,0
2020-03-3,7,0,0,7
2020-03-4,14,0,0,14
2020-03-5,5,0,0,5
2020-03-6,28,0,1,27
2020-03-7,10,0,0,10
2020-03-8,6,0,0,6
2020-03-9,18,0,1,17
2020-03-10,12,0,0,12
2020-03-11,20,0,2,18
2020-03-12,9,0,6,3
2020-03-13,39,0,1,38
2020-03-14,41,0,2,39
2020-03-15,190,0,7,183
2020-03-16,125,0,0,125
2020-03-17,120,2,7,111
2020-03-18,117,0,11,106
2020-03-19,110,0,15,95
2020-03-20,130,0,12,118
2020-03-21,153,6,27,120
2020-03-22,123,2,25,96
2020-03-23,212,4,20,188
2020-03-24,106,1,24,81
2020-03-25,172,5,16,151
2020-03-26,235,3,16,216
2020-03-27,130,3,44,83
2020-03-28,159,1,61,97
2020-03-29,150,8,68,74
2020-03-30,156,2,91,63
2020-03-31,140,6,58,76
2020-04-1,142,2,108,32
2020-04-2,208,5,122,81
