date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-01-26,,,,,,,,0.0,0.0
2020-01-27,,,,,,,,0.0,0.0
2020-01-28,,,,,,,,1.0,1.0
2020-01-29,,,,,,,,0.0,0.0
2020-01-30,,,,,,,,0.0,0.0
2020-01-31,,,,,,,,0.0,0.0
2020-02-01,,,,,,,,0.0,0.0
2020-02-02,,,,,,,,0.0,0.0
2020-02-03,,,,,,,,1.0,1.0
2020-02-04,,,,,,,,0.0,0.0
2020-02-05,,,,,,,,0.0,0.0
2020-02-06,,,,,,,,0.0,0.0
2020-02-07,,,,,,,,0.0,0.0
2020-02-08,,,,,,,,1.0,1.0
2020-02-09,,,,,,,,1.0,1.0
2020-02-10,,,,,,,,0.0,0.0
2020-02-11,,,,,,,,0.0,0.0
2020-02-12,,,,,,,,0.0,0.0
2020-02-13,,,,,,,,0.0,0.0
2020-02-14,,,,,,,,0.0,0.0
2020-02-15,,,,,,,,1.0,1.0
2020-02-16,,,,,,,,0.0,0.0
2020-02-17,,,,,,,,0.0,0.0
2020-02-18,0.0001,0.0001,10.81,0.0001,6.01,2.337570512708874,2.337570512708874,0.0,0.0
2020-02-19,11.84,6.4,12.0,9.870000000000001,11.98,2.9929463382145536,2.9929463382145536,0.0,0.0
2020-02-20,11.82,7.82,12.0,10.43,11.97,3.725825842717098,3.725825842717098,0.0,0.0
2020-02-21,11.78,7.59,12.0,10.07,11.92,4.521065278309891,4.521065278309891,0.0,0.0
2020-02-22,8.24,5.61,11.33,6.86,9.4,5.364250679315212,5.364250679315212,0.0,0.0
2020-02-23,5.95,4.07,8.22,5.0600000000000005,6.76,6.246568029081849,6.246568029081849,0.0,0.0
2020-02-24,4.65,3.33,6.18,4.01,5.18,7.169469429728673,7.169469429728673,0.0,0.0
2020-02-25,3.84,2.82,4.94,3.35,4.22,8.148044449196828,8.148044449196828,0.0,0.0
2020-02-26,3.29,2.49,4.16,2.89,3.58,9.212188915541232,9.212188915541232,0.0,0.0
2020-02-27,2.91,2.24,3.62,2.58,3.15,10.405026570415943,10.405026570415943,0.0,0.0
2020-02-28,2.64,2.07,3.25,2.34,2.83,11.77846610726613,11.77846610726613,1.0,1.0
2020-02-29,2.44,1.93,2.97,2.18,2.61,13.386192088000255,13.386192088000255,1.0,1.0
2020-03-01,2.3000000000000003,1.81,2.75,2.05,2.44,15.27479526958586,15.27479526958586,2.0,2.0
2020-03-02,2.19,1.75,2.61,1.95,2.31,17.474183728370665,17.474183728370665,2.0,2.0
2020-03-03,2.12,1.7,2.5,1.9100000000000001,2.24,19.988857442794654,19.988857442794654,3.0,3.0
2020-03-04,2.07,1.69,2.43,1.87,2.18,22.79192061685736,22.79192061685736,7.0,7.0
2020-03-05,2.0300000000000002,1.6600000000000001,2.36,1.84,2.13,25.82359792724856,25.82359792724856,7.0,7.0
2020-03-06,1.99,1.6500000000000001,2.31,1.84,2.11,28.99531986160602,28.99531986160602,7.0,7.0
2020-03-07,1.95,1.61,2.24,1.78,2.04,32.199189596942034,32.199189596942034,7.0,7.0
2020-03-08,1.8900000000000001,1.57,2.17,1.72,1.97,35.32118569401836,35.32118569401836,7.0,7.0
2020-03-09,1.83,1.52,2.09,1.6600000000000001,1.9000000000000001,38.25532909207065,38.25532909207065,7.0,7.0
2020-03-10,1.75,1.47,2.0100000000000002,1.6300000000000001,1.85,40.915725092638674,40.915725092638674,7.0,7.0
2020-03-11,1.67,1.41,1.92,1.55,1.76,43.24404403142481,43.24404403142481,7.0,7.0
2020-03-12,1.58,1.32,1.81,1.46,1.6600000000000001,45.2113808641527,45.2113808641527,7.0,7.0
2020-03-13,1.49,1.24,1.71,1.3800000000000001,1.57,46.814991291528784,46.814991291528784,7.0,7.0
2020-03-14,1.41,1.19,1.6300000000000001,1.27,1.46,48.07156222587953,48.07156222587953,5.0,5.0
2020-03-15,1.33,1.1,1.53,1.21,1.3900000000000001,49.009084379625456,49.009084379625456,26.0,26.0
