date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-03-16,0.0001,0.0001,10.81,0.0001,6.01,8.71906073775532,8.71906073775532,2.0,2.0
2020-03-17,11.86,9.26,12.0,11.06,11.98,9.572224241042813,9.572224241042813,3.0,3.0
2020-03-18,11.83,9.48,12.0,11.1,11.99,9.124305700245534,9.124305700245534,3.0,3.0
2020-03-19,8.77,6.46,11.39,7.66,9.82,7.890293493867726,7.890293493867726,1.0,1.0
2020-03-20,5.03,3.67,6.61,4.3500000000000005,5.5600000000000005,6.538411213445427,6.538411213445427,9.0,9.0
2020-03-21,3.25,2.4,4.24,2.81,3.5700000000000003,5.4689633042645855,5.4689633042645855,7.0,7.0
2020-03-22,2.27,1.6300000000000001,2.96,1.94,2.49,4.752313005077198,4.752313005077198,5.0,5.0
2020-03-23,1.67,1.1300000000000001,2.2,1.41,1.85,4.290512373177233,4.290512373177233,6.0,6.0
2020-03-24,1.29,0.8300000000000001,1.74,1.04,1.42,3.962182235719615,3.962182235719615,0.0,0.0
2020-03-25,1.05,0.64,1.45,0.8300000000000001,1.17,3.6753947368768465,3.6753947368768465,0.0,0.0
2020-03-26,0.9,0.51,1.26,0.71,1.02,3.3720995231091995,3.3720995231091995,1.0,1.0
2020-03-27,0.8,0.44,1.1500000000000001,0.65,0.9400000000000001,3.024187136499117,3.024187136499117,2.0,2.0
2020-03-28,0.74,0.38,1.07,0.54,0.8300000000000001,2.6292587563642464,2.6292587563642464,4.0,4.0
2020-03-29,0.68,0.34,1.02,0.52,0.8,2.2040366854080107,2.2040366854080107,2.0,2.0
2020-03-30,0.63,0.31,0.98,0.46,0.74,1.7755306050792121,1.7755306050792121,0.0,0.0
2020-03-31,0.58,0.25,0.92,0.41000000000000003,0.6900000000000001,1.372059280931301,1.372059280931301,0.0,0.0
2020-04-01,0.52,0.21,0.88,0.36,0.64,1.0162765114935894,1.0162765114935894,1.0,1.0
2020-04-02,0.47000000000000003,0.12,0.8,0.27,0.56,0.7214451120027728,0.7214451120027728,2.0,2.0
2020-04-03,0.41000000000000003,0.09,0.76,0.22,0.51,0.4910075371754828,0.4910075371754828,18.0,18.0
2020-04-04,0.35000000000000003,0.05,0.71,0.17,0.46,0.3205448286943861,0.3205448286943861,6.0,6.0
2020-04-05,0.3,0.0001,0.65,0.11,0.4,0.20081929835970064,0.20081929835970064,10.0,10.0
2020-04-06,0.25,0.0001,0.62,0.08,0.36,0.12075105202966714,0.12075105202966714,6.0,6.0
2020-04-07,0.21,0.0001,0.61,0.06,0.33,0.06964053482171899,0.06964053482171899,0.0,0.0
2020-04-08,0.19,0.0001,0.6,0.02,0.29,0.03843723675700034,0.03843723675700034,3.0,3.0
2020-04-09,0.18,0.0001,0.6,0.04,0.3,0.020190482230917267,0.020190482230917267,5.0,5.0
2020-04-10,0.18,0.0001,0.61,0.01,0.28,0.009959560563364334,0.009959560563364334,3.0,3.0
2020-04-11,0.18,0.0001,0.62,0.02,0.29,0.004455834225290116,0.004455834225290116,1.0,1.0
2020-04-12,0.18,0.0001,0.64,0.01,0.29,0.0016143288303916716,0.0016143288303916716,0.0,0.0
2020-04-13,0.19,0.0001,0.66,0.01,0.3,0.00020614811662602564,0.00020614811662602564,4.0,4.0
2020-04-14,0.19,0.0001,0.7000000000000001,0.03,0.33,0.0,0.0,0.0,0.0
2020-04-15,0.19,0.0001,0.73,0.02,0.33,0.0,0.0,0.0,0.0
2020-04-16,0.19,0.0001,0.75,0.02,0.34,0.0,0.0,2.0,2.0
2020-04-17,0.19,0.0001,0.77,0.02,0.35000000000000003,0.0,0.0,0.0,0.0
2020-04-18,0.19,0.0001,0.8,0.01,0.35000000000000003,0.0,0.0,1.0,1.0
2020-04-19,0.2,0.0001,0.8200000000000001,0.01,0.36,0.0,0.0,0.0,0.0
2020-04-20,0.2,0.0001,0.84,0.01,0.37,0.0,0.0,0.0,0.0
2020-04-21,0.2,0.0001,0.86,0.0001,0.37,0.0,0.0,0.0,0.0
2020-04-22,0.2,0.0001,0.88,0.04,0.41000000000000003,0.0,0.0,0.0,0.0
2020-04-23,0.2,0.0001,0.9,0.03,0.41000000000000003,0.0,0.0,1.0,1.0
2020-04-24,0.21,0.0001,0.92,0.02,0.41000000000000003,0.0,0.0,0.0,0.0
