date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-03-05,0.0001,0.0001,10.81,0.0001,6.01,8.828120742857335,8.828120742857335,0.0,0.0
2020-03-06,11.9,9.66,12.0,11.22,11.99,11.378970070275198,11.378970070275198,0.0,0.0
2020-03-07,11.89,10.24,12.0,11.39,11.98,13.263726926134543,13.263726926134543,0.0,0.0
2020-03-08,11.84,9.14,12.0,10.68,11.91,14.475205446239661,14.475205446239661,1.0,1.0
2020-03-09,7.23,5.65,8.91,6.48,7.82,15.210562029712495,15.210562029712495,0.0,0.0
2020-03-10,4.97,3.98,5.98,4.51,5.33,15.642836036975794,15.642836036975794,0.0,0.0
2020-03-11,3.69,3.0,4.38,3.35,3.92,15.82925790307978,15.82925790307978,0.0,0.0
2020-03-12,2.89,2.37,3.41,2.63,3.06,15.751110035372841,15.751110035372841,0.0,0.0
2020-03-13,2.35,1.93,2.77,2.13,2.48,15.379062265513985,15.379062265513985,1.0,1.0
2020-03-14,1.95,1.58,2.3000000000000003,1.75,2.05,14.707675327049012,14.707675327049012,0.0,0.0
2020-03-15,1.6400000000000001,1.3,1.94,1.5,1.76,13.763440726354707,13.763440726354707,8.0,8.0
2020-03-16,1.4000000000000001,1.1,1.68,1.25,1.49,12.601409068913233,12.601409068913233,8.0,8.0
2020-03-17,1.2,0.92,1.46,1.08,1.3,11.296392496289315,11.296392496289315,5.0,5.0
2020-03-18,1.04,0.77,1.28,0.91,1.12,9.931000858922683,9.931000858922683,5.0,5.0
2020-03-19,0.91,0.66,1.1400000000000001,0.78,0.98,8.583290247439619,8.583290247439619,7.0,7.0
2020-03-20,0.79,0.56,1.02,0.68,0.87,7.316807989744656,7.316807989744656,10.0,10.0
2020-03-21,0.7000000000000001,0.47000000000000003,0.92,0.5700000000000001,0.76,6.174785048405341,6.174785048405341,10.0,10.0
2020-03-22,0.63,0.4,0.84,0.53,0.71,5.1788882716362465,5.1788882716362465,11.0,11.0
2020-03-23,0.5700000000000001,0.33,0.77,0.46,0.64,4.3317929640831325,4.3317929640831325,15.0,15.0
2020-03-24,0.52,0.31,0.74,0.41000000000000003,0.59,3.6221537181536787,3.6221537181536787,17.0,17.0
2020-03-25,0.49,0.28,0.71,0.37,0.55,3.0304188692362777,3.0304188692362777,30.0,30.0
2020-03-26,0.46,0.23,0.67,0.36,0.54,2.5342231027547384,2.5342231027547384,23.0,23.0
2020-03-27,0.44,0.2,0.65,0.31,0.5,2.112568598250366,2.112568598250366,8.0,8.0
2020-03-28,0.42,0.21,0.66,0.3,0.49,1.7484622778646546,1.7484622778646546,6.0,6.0
2020-03-29,0.41000000000000003,0.17,0.64,0.27,0.47000000000000003,1.4300177255206246,1.4300177255206246,11.0,11.0
2020-03-30,0.4,0.16,0.64,0.28,0.48,1.1502554932254494,1.1502554932254494,8.0,8.0
2020-03-31,0.39,0.15,0.64,0.25,0.46,0.905980715849777,0.905980715849777,5.0,5.0
2020-04-01,0.38,0.12,0.63,0.22,0.44,0.6961985545657281,0.6961985545657281,5.0,5.0
2020-04-02,0.36,0.09,0.62,0.23,0.45,0.5205316957496454,0.5205316957496454,6.0,6.0
2020-04-03,0.35000000000000003,0.08,0.62,0.2,0.43,0.3780131303392838,0.3780131303392838,5.0,5.0
2020-04-04,0.33,0.07,0.62,0.17,0.41000000000000003,0.2664560444347823,0.2664560444347823,2.0,2.0
2020-04-05,0.32,0.02,0.59,0.14,0.39,0.1824038040512415,0.1824038040512415,6.0,6.0
2020-04-06,0.3,0.02,0.59,0.15,0.4,0.12150390721662618,0.12150390721662618,6.0,6.0
2020-04-07,0.28,0.0001,0.58,0.11,0.37,0.07907644115180813,0.07907644115180813,14.0,14.0
2020-04-08,0.26,0.0001,0.58,0.11,0.37,0.050664709963868314,0.050664709963868314,4.0,4.0
2020-04-09,0.24,0.0001,0.59,0.07,0.34,0.03243201199627307,0.03243201199627307,4.0,4.0
2020-04-10,0.23,0.0001,0.59,0.07,0.34,0.02135898007751991,0.02135898007751991,1.0,1.0
2020-04-11,0.22,0.0001,0.6,0.08,0.35000000000000003,0.01526453269107161,0.01526453269107161,1.0,1.0
2020-04-12,0.21,0.0001,0.61,0.04,0.32,0.012705840479399915,0.012705840479399915,1.0,1.0
2020-04-13,0.21,0.0001,0.63,0.06,0.34,0.012814751164984345,0.012814751164984345,3.0,3.0
2020-04-14,0.21,0.0001,0.64,0.04,0.33,0.015116128864789566,0.015116128864789566,3.0,3.0
2020-04-15,0.21,0.0001,0.66,0.03,0.33,0.019361891555965453,0.019361891555965453,0.0,0.0
2020-04-16,0.22,0.0001,0.68,0.07,0.37,0.025407379053995895,0.025407379053995895,1.0,1.0
2020-04-17,0.23,0.0001,0.6900000000000001,0.07,0.38,0.033148027202417184,0.033148027202417184,1.0,1.0
2020-04-18,0.25,0.0001,0.72,0.07,0.39,0.04251606009000409,0.04251606009000409,0.0,0.0
2020-04-19,0.27,0.0001,0.74,0.08,0.41000000000000003,0.053509678981366465,0.053509678981366465,0.0,0.0
2020-04-20,0.29,0.0001,0.76,0.09,0.43,0.0662043804621836,0.0662043804621836,0.0,0.0
2020-04-21,0.32,0.0001,0.79,0.12,0.47000000000000003,0.08069551166853617,0.08069551166853617,0.0,0.0
2020-04-22,0.34,0.0001,0.8200000000000001,0.14,0.5,0.0969510940220534,0.0969510940220534,0.0,0.0
2020-04-23,0.37,0.01,0.85,0.17,0.54,0.11460453008458403,0.11460453008458403,0.0,0.0
2020-04-24,0.41000000000000003,0.02,0.89,0.2,0.58,0.1327649503487158,0.1327649503487158,0.0,0.0
2020-04-25,0.44,0.02,0.92,0.22,0.61,0.14994433754060466,0.14994433754060466,0.0,0.0
2020-04-26,0.47000000000000003,0.04,0.96,0.23,0.63,0.16418030472590764,0.16418030472590764,0.0,0.0
2020-04-27,0.5,0.07,1.01,0.24,0.65,0.17337199595833824,0.17337199595833824,1.0,1.0
2020-04-28,0.53,0.08,1.04,0.3,0.71,0.17576215220785552,0.17576215220785552,0.0,0.0
2020-04-29,0.55,0.09,1.07,0.3,0.72,0.1704239684558634,0.1704239684558634,0.0,0.0
2020-04-30,0.5700000000000001,0.08,1.08,0.35000000000000003,0.77,0.157583625975949,0.157583625975949,0.0,0.0
2020-05-01,0.58,0.1,1.11,0.32,0.75,0.13865016657849114,0.13865016657849114,0.0,0.0
2020-05-02,0.59,0.1,1.12,0.36,0.79,0.1159248279575679,0.1159248279575679,0.0,0.0
2020-05-03,0.59,0.1,1.1300000000000001,0.33,0.77,0.09208145183829035,0.09208145183829035,0.0,0.0
2020-05-04,0.59,0.09,1.1300000000000001,0.36,0.8,0.06959392246224264,0.06959392246224264,0.0,0.0
2020-05-05,0.59,0.07,1.12,0.32,0.77,0.05029679633927486,0.05029679633927486,0.0,0.0
2020-05-06,0.58,0.05,1.11,0.29,0.75,0.03519922736160386,0.03519922736160386,0.0,0.0
2020-05-07,0.58,0.07,1.1300000000000001,0.31,0.77,0.02456490789101052,0.02456490789101052,0.0,0.0
2020-05-08,0.5700000000000001,0.04,1.11,0.27,0.74,0.018172624965698644,0.018172624965698644,0.0,0.0
2020-05-09,0.56,0.02,1.1,0.3,0.77,0.015621708696070453,0.015621708696070453,0.0,0.0
2020-05-10,0.56,0.04,1.12,0.27,0.75,0.016555115116374895,0.016555115116374895,2.0,2.0
2020-05-11,0.56,0.03,1.12,0.24,0.73,0.020726670941072223,0.020726670941072223,0.0,0.0
2020-05-12,0.56,0.04,1.1400000000000001,0.27,0.76,0.027912718702667223,0.027912718702667223,0.0,0.0
2020-05-13,0.5700000000000001,0.01,1.1300000000000001,0.25,0.75,0.03773463224652804,0.03773463224652804,0.0,0.0
2020-05-14,0.58,0.03,1.16,0.3,0.8,0.04949374690886517,0.04949374690886517,0.0,0.0
2020-05-15,0.59,0.03,1.18,0.28,0.79,0.06211141942106954,0.06211141942106954,0.0,0.0
2020-05-16,0.61,0.03,1.2,0.33,0.84,0.07421997780186819,0.07421997780186819,0.0,0.0
2020-05-17,0.63,0.06,1.24,0.31,0.8300000000000001,0.08438814833026112,0.08438814833026112,0.0,0.0
2020-05-18,0.65,0.06,1.26,0.35000000000000003,0.87,0.09141392304983242,0.09141392304983242,0.0,0.0
