state,date,cases
Johor,2020-01-25,1
Johor,2020-01-26,1
Johor,2020-01-27,1
Johor,2020-01-28,2
Johor,2020-01-29,2
Johor,2020-01-30,3
Johor,2020-01-31,3
Johor,2020-02-01,3
Johor,2020-02-02,3
Johor,2020-02-03,3
Johor,2020-02-04,3
Johor,2020-02-05,3
Johor,2020-02-06,4
Johor,2020-02-07,4
Johor,2020-02-08,4
Johor,2020-02-09,4
Johor,2020-02-10,4
Johor,2020-02-11,4
Johor,2020-02-12,4
Johor,2020-02-13,4
Johor,2020-02-14,4
Johor,2020-02-15,4
Johor,2020-02-16,4
Johor,2020-02-17,4
Johor,2020-02-18,4
Johor,2020-02-19,4
Johor,2020-02-20,4
Johor,2020-02-21,4
Johor,2020-02-22,4
Johor,2020-02-23,4
Johor,2020-02-24,4
Johor,2020-02-25,4
Johor,2020-02-26,4
Johor,2020-02-27,4
Johor,2020-02-28,4
Johor,2020-02-29,4
Johor,2020-03-01,4
Johor,2020-03-02,4
Johor,2020-03-03,4
Johor,2020-03-04,5
Johor,2020-03-05,7
Johor,2020-03-06,8
Johor,2020-03-07,10
Johor,2020-03-08,12
Johor,2020-03-09,13
Johor,2020-03-10,15
Johor,2020-03-11,16
Johor,2020-03-12,18
Johor,2020-03-13,20
Johor,2020-03-14,22
Johor,2020-03-15,37
Johor,2020-03-16,52
Johor,2020-03-17,77
Johor,2020-03-18,88
Johor,2020-03-19,101
Johor,2020-03-20,114
Johor,2020-03-21,129
Johor,2020-03-22,145
Johor,2020-03-23,158
Johor,2020-03-24,162
Johor,2020-03-25,196
Johor,2020-03-26,239
Johor,2020-03-27,259
Johor,2020-03-28,285
Johor,2020-03-29,309
Johor,2020-03-30,333
Johor,2020-03-31,349
Johor,2020-04-01,368
Johor,2020-04-02,395
Johor,2020-04-03,416
Johor,2020-04-04,422
Johor,2020-04-05,438
Johor,2020-04-06,468
Johor,2020-04-07,478
Johor,2020-04-08,496
Johor,2020-04-09,503
Johor,2020-04-10,523
Johor,2020-04-11,544
Johor,2020-04-12,558
Johor,2020-04-13,579
Johor,2020-04-14,587
Johor,2020-04-15,601
Johor,2020-04-16,614
Johor,2020-04-17,623
Johor,2020-04-18,639
Johor,2020-04-19,642
Johor,2020-04-20,644
Johor,2020-04-21,645
Johor,2020-04-22,648
Johor,2020-04-23,651
Johor,2020-04-24,655
Johor,2020-04-25,655
Johor,2020-04-26,659
Johor,2020-04-27,659
Johor,2020-04-28,660
Johor,2020-04-29,660
Johor,2020-04-30,663
Johor,2020-05-01,666
Johor,2020-05-02,667
Johor,2020-05-03,667
Johor,2020-05-04,667
Johor,2020-05-05,667
Johor,2020-05-06,667
Johor,2020-05-07,667
Johor,2020-05-08,667
Johor,2020-05-09,667
Johor,2020-05-10,667
Johor,2020-05-11,667
Johor,2020-05-12,667
Johor,2020-05-13,667
Johor,2020-05-14,668
Johor,2020-05-15,668
Johor,2020-05-16,668
Johor,2020-05-17,668
Johor,2020-05-18,668
Johor,2020-05-19,669
Johor,2020-05-20,669
Johor,2020-05-21,669
Johor,2020-05-22,669
Johor,2020-05-23,670
Johor,2020-05-24,671
Johor,2020-05-25,671
Johor,2020-05-26,671
Johor,2020-05-27,671
Johor,2020-05-28,671
Johor,2020-05-29,674
Johor,2020-05-30,675
Johor,2020-05-31,675
Johor,2020-06-01,675
Johor,2020-06-02,676
Johor,2020-06-03,676
Johor,2020-06-04,676
Johor,2020-06-05,676
Johor,2020-06-06,676
Johor,2020-06-07,676
Johor,2020-06-08,676
Johor,2020-06-09,676
Johor,2020-06-10,677
Johor,2020-06-11,677
Johor,2020-06-12,678
Johor,2020-06-13,680
Johor,2020-06-14,680
Johor,2020-06-15,683
Johor,2020-06-16,684
Johor,2020-06-17,684
Johor,2020-06-18,686
Johor,2020-06-19,686
Johor,2020-06-20,686
Johor,2020-06-21,687
Johor,2020-06-22,688
Johor,2020-06-23,688
Johor,2020-06-24,688
Johor,2020-06-25,689
Johor,2020-06-26,691
Johor,2020-06-27,691
Johor,2020-06-28,691
Johor,2020-06-29,691
Johor,2020-06-30,691
Johor,2020-07-01,691
Johor,2020-07-02,692
Johor,2020-07-03,692
Johor,2020-07-04,692
Johor,2020-07-05,692
Johor,2020-07-06,693
Johor,2020-07-07,694
Johor,2020-07-08,694
Johor,2020-07-09,696
Johor,2020-07-10,697
Johor,2020-07-11,699
Johor,2020-07-12,699
Johor,2020-07-13,699
Johor,2020-07-14,701
Johor,2020-07-15,701
Johor,2020-07-16,701
Johor,2020-07-17,701
Johor,2020-07-18,701
Johor,2020-07-19,702
Johor,2020-07-20,716
Johor,2020-07-21,716
Johor,2020-07-22,717
Johor,2020-07-23,718
Johor,2020-07-24,720
Johor,2020-07-25,730
Johor,2020-07-26,737
Johor,2020-07-27,737
Johor,2020-07-28,737
Johor,2020-07-29,738
Johor,2020-07-30,739
Johor,2020-07-31,742
Johor,2020-08-01,742
Johor,2020-08-02,742
Johor,2020-08-03,742
Johor,2020-08-04,742
Johor,2020-08-05,743
Johor,2020-08-06,743
Johor,2020-08-07,744
Johor,2020-08-08,744
Johor,2020-08-09,744
Johor,2020-08-10,746
Johor,2020-08-11,747
Johor,2020-08-12,749
Johor,2020-08-13,749
Johor,2020-08-14,749
Johor,2020-08-15,750
Johor,2020-08-16,750
Johor,2020-08-17,750
Johor,2020-08-18,750
Johor,2020-08-19,751
Johor,2020-08-20,751
Johor,2020-08-21,751
Johor,2020-08-22,751
Johor,2020-08-23,751
Johor,2020-08-24,751
Johor,2020-08-25,751
Johor,2020-08-26,751
Johor,2020-08-27,751
Johor,2020-08-28,751
Johor,2020-08-29,751
Johor,2020-08-30,751
Johor,2020-08-31,751
Johor,2020-09-01,751
Johor,2020-09-02,751
Johor,2020-09-03,752
Johor,2020-09-04,752
Johor,2020-09-05,752
Johor,2020-09-06,752
Johor,2020-09-07,752
Johor,2020-09-08,752
Johor,2020-09-09,752
Johor,2020-09-10,752
Johor,2020-09-11,752
Johor,2020-09-12,752
Johor,2020-09-13,752
Johor,2020-09-14,752
Johor,2020-09-15,752
Johor,2020-09-16,752
Johor,2020-09-17,752
Johor,2020-09-18,752
