date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-03-05,0.0,0.0,10.81,0.0,6.01,3.3553640856077203,3.3553640856077203,0.0,0.0
2020-03-06,11.78,7.12,12.0,10.22,12.0,3.926246123577277,3.926246123577277,0.0,0.0
2020-03-07,11.74,7.97,12.0,10.43,11.94,4.048529780486503,4.048529780486503,0.0,0.0
2020-03-08,9.84,6.58,11.96,8.45,11.07,3.8311045410421825,3.8311045410421825,0.0,0.0
2020-03-09,5.78,3.56,8.52,4.71,6.74,3.4821389185616876,3.4821389185616876,0.0,0.0
2020-03-10,3.83,2.44,5.5200000000000005,3.17,4.43,3.171555259444134,3.171555259444134,0.0,0.0
2020-03-11,2.7600000000000002,1.72,3.91,2.24,3.14,2.9834060069670434,2.9834060069670434,0.0,0.0
2020-03-12,2.12,1.29,3.0100000000000002,1.7,2.41,2.9420082415055204,2.9420082415055204,0.0,0.0
2020-03-13,1.73,1.02,2.47,1.36,1.96,3.0475435350986704,3.0475435350986704,1.0,1.0
2020-03-14,1.5,0.88,2.16,1.18,1.71,3.2921700755164847,3.2921700755164847,5.0,5.0
2020-03-15,1.4000000000000001,0.84,2.0100000000000002,1.09,1.58,3.6626902577584914,3.6626902577584914,4.0,4.0
2020-03-16,1.37,0.8200000000000001,1.93,1.09,1.55,4.139943926707871,4.139943926707871,4.0,4.0
2020-03-17,1.4000000000000001,0.87,1.94,1.1500000000000001,1.59,4.6984474027369725,4.6984474027369725,3.0,3.0
2020-03-18,1.45,0.92,1.97,1.21,1.6400000000000001,5.306761217440815,5.306761217440815,1.0,1.0
2020-03-19,1.51,0.99,2.02,1.24,1.67,5.928774677959455,5.928774677959455,2.0,2.0
2020-03-20,1.57,1.08,2.09,1.31,1.73,6.525947955407311,6.525947955407311,2.0,2.0
2020-03-21,1.6,1.09,2.09,1.37,1.78,7.060288069558374,7.060288069558374,0.0,0.0
2020-03-22,1.6,1.11,2.09,1.34,1.75,7.4976692880115685,7.4976692880115685,1.0,1.0
2020-03-23,1.58,1.09,2.05,1.32,1.72,7.811035903880974,7.811035903880974,2.0,2.0
2020-03-24,1.53,1.06,1.99,1.28,1.67,7.983010485406071,7.983010485406071,6.0,6.0
2020-03-25,1.46,1.0,1.9000000000000001,1.25,1.62,8.007485576161558,8.007485576161558,2.0,2.0
2020-03-26,1.37,0.92,1.79,1.1500000000000001,1.51,7.889919541163634,7.889919541163634,0.0,0.0
2020-03-27,1.27,0.84,1.68,1.05,1.4000000000000001,7.646270795244777,7.646270795244777,0.0,0.0
2020-03-28,1.17,0.75,1.56,0.99,1.32,7.30073516415997,7.30073516415997,9.0,9.0
2020-03-29,1.08,0.67,1.45,0.89,1.21,6.882637158345018,6.882637158345018,1.0,1.0
2020-03-30,0.99,0.61,1.36,0.8,1.11,6.42292904379536,6.42292904379536,7.0,7.0
2020-03-31,0.91,0.54,1.27,0.74,1.04,5.950766673079007,5.950766673079007,2.0,2.0
2020-04-01,0.85,0.49,1.2,0.65,0.9500000000000001,5.490576733917822,5.490576733917822,11.0,11.0
2020-04-02,0.8,0.44,1.1400000000000001,0.62,0.91,5.059933537016592,5.059933537016592,7.0,7.0
2020-04-03,0.76,0.42,1.11,0.5700000000000001,0.86,4.668450423441966,4.668450423441966,3.0,3.0
2020-04-04,0.73,0.38,1.07,0.54,0.8300000000000001,4.317780053368761,4.317780053368761,2.0,2.0
2020-04-05,0.71,0.37,1.06,0.52,0.81,4.002714112472649,4.002714112472649,14.0,14.0
2020-04-06,0.7000000000000001,0.34,1.04,0.52,0.81,3.7132621094072307,3.7132621094072307,10.0,10.0
2020-04-07,0.6900000000000001,0.33,1.04,0.54,0.8300000000000001,3.437447102697163,3.437447102697163,4.0,4.0
2020-04-08,0.68,0.32,1.04,0.5,0.8,3.1643802953122173,3.1643802953122173,13.0,13.0
2020-04-09,0.68,0.32,1.05,0.47000000000000003,0.78,2.8870162937114463,2.8870162937114463,3.0,3.0
2020-04-10,0.67,0.32,1.06,0.48,0.79,2.603946598536286,2.603946598536286,14.0,14.0
2020-04-11,0.65,0.28,1.04,0.45,0.77,2.31975437980657,2.31975437980657,8.0,8.0
2020-04-12,0.64,0.26,1.03,0.45,0.77,2.043833632858784,2.043833632858784,3.0,3.0
2020-04-13,0.62,0.24,1.02,0.41000000000000003,0.74,1.7880436952147363,1.7880436952147363,0.0,0.0
2020-04-14,0.6,0.23,1.02,0.42,0.75,1.5639167021704783,1.5639167021704783,3.0,3.0
2020-04-15,0.58,0.22,1.02,0.37,0.71,1.3801940288300119,1.3801940288300119,0.0,0.0
2020-04-16,0.5700000000000001,0.17,0.99,0.4,0.74,1.241227680361748,1.241227680361748,0.0,0.0
2020-04-17,0.5700000000000001,0.18,1.01,0.37,0.72,1.146401416696613,1.146401416696613,1.0,1.0
2020-04-18,0.58,0.18,1.03,0.36,0.72,1.0904206249670996,1.0904206249670996,0.0,0.0
2020-04-19,0.6,0.17,1.05,0.37,0.74,1.0642156369364726,1.0642156369364726,37.0,37.0
2020-04-20,0.62,0.18,1.09,0.4,0.78,1.056261831786558,1.056261831786558,2.0,2.0
2020-04-21,0.66,0.2,1.1400000000000001,0.45,0.84,1.0541953697388213,1.0541953697388213,1.0,1.0
2020-04-22,0.7000000000000001,0.23,1.2,0.44,0.85,1.0465777707762172,1.0465777707762172,1.0,1.0
2020-04-23,0.73,0.25,1.25,0.48,0.9,1.0245446897474983,1.0245446897474983,0.0,0.0
2020-04-24,0.76,0.27,1.3,0.52,0.9500000000000001,0.9829827506654288,0.9829827506654288,3.0,3.0
2020-04-25,0.79,0.27,1.33,0.55,0.99,0.9209318477256239,0.9209318477256239,0.0,0.0
2020-04-26,0.8,0.25,1.34,0.56,1.01,0.8411246982398862,0.8411246982398862,1.0,1.0
2020-04-27,0.79,0.25,1.36,0.55,1.01,0.7488505007451315,0.7488505007451315,0.0,0.0
2020-04-28,0.78,0.26,1.3800000000000001,0.51,0.98,0.6505251471257331,0.6505251471257331,0.0,0.0
2020-04-29,0.75,0.2,1.34,0.47000000000000003,0.9500000000000001,0.5523808424979184,0.5523808424979184,0.0,0.0
2020-04-30,0.72,0.16,1.31,0.42,0.91,0.45956468970631154,0.45956468970631154,5.0,5.0
2020-05-01,0.68,0.15,1.3,0.4,0.89,0.3757419093795096,0.3757419093795096,1.0,1.0
2020-05-02,0.64,0.12,1.27,0.33,0.8300000000000001,0.30312975939005865,0.30312975939005865,2.0,2.0
2020-05-03,0.6,0.07,1.22,0.31,0.81,0.2428006520505412,0.2428006520505412,3.0,3.0
2020-05-04,0.56,0.02,1.17,0.28,0.78,0.19509331129133312,0.19509331129133312,3.0,3.0
2020-05-05,0.52,0.02,1.16,0.26,0.76,0.1600273287872897,0.1600273287872897,0.0,0.0
2020-05-06,0.49,0.0,1.1400000000000001,0.18,0.6900000000000001,0.13768466013819583,0.13768466013819583,1.0,1.0
2020-05-07,0.47000000000000003,0.0,1.1500000000000001,0.17,0.68,0.12856435200143787,0.12856435200143787,1.0,1.0
2020-05-08,0.47000000000000003,0.0,1.16,0.22,0.73,0.1339155158161404,0.1339155158161404,0.0,0.0
2020-05-09,0.48,0.01,1.2,0.17,0.7000000000000001,0.15601274919811925,0.15601274919811925,1.0,1.0
2020-05-10,0.53,0.0,1.24,0.24,0.78,0.19828425512501271,0.19828425512501271,0.0,0.0
2020-05-11,0.6,0.05,1.34,0.3,0.86,0.26517315273966857,0.26517315273966857,1.0,1.0
2020-05-12,0.7000000000000001,0.08,1.44,0.33,0.92,0.3616340436809298,0.3616340436809298,0.0,0.0
2020-05-13,0.81,0.16,1.58,0.44,1.05,0.4922389407877544,0.4922389407877544,2.0,2.0
2020-05-14,0.9500000000000001,0.29,1.76,0.6,1.22,0.6599644595293782,0.6599644595293782,1.0,1.0
2020-05-15,1.1,0.38,1.9000000000000001,0.77,1.4000000000000001,0.8648314482421255,0.8648314482421255,1.0,1.0
2020-05-16,1.26,0.52,2.07,0.92,1.56,1.1026608898990014,1.1026608898990014,0.0,0.0
2020-05-17,1.42,0.66,2.23,1.05,1.7,1.3642879419255853,1.3642879419255853,0.0,0.0
2020-05-18,1.57,0.8,2.38,1.23,1.8800000000000001,1.63560163171142,1.63560163171142,0.0,0.0
2020-05-19,1.69,0.92,2.5,1.35,2.0,1.8986847125421817,1.8986847125421817,0.0,0.0
2020-05-20,1.79,1.01,2.58,1.4000000000000001,2.05,2.134072177616944,2.134072177616944,0.0,0.0
2020-05-21,1.84,1.09,2.63,1.45,2.09,2.323768885061561,2.323768885061561,0.0,0.0
2020-05-22,1.85,1.1,2.61,1.51,2.13,2.4543092121073116,2.4543092121073116,1.0,1.0
2020-05-23,1.82,1.11,2.57,1.5,2.1,2.5189893215354404,2.5189893215354404,0.0,0.0
2020-05-24,1.75,1.07,2.48,1.44,2.02,2.518576105450803,2.518576105450803,0.0,0.0
2020-05-25,1.6500000000000001,0.98,2.34,1.34,1.9000000000000001,2.4602677986039856,2.4602677986039856,0.0,0.0
2020-05-26,1.54,0.88,2.19,1.23,1.77,2.3552689688595967,2.3552689688595967,0.0,0.0
2020-05-27,1.42,0.78,2.04,1.11,1.6300000000000001,2.215801189327686,2.215801189327686,0.0,0.0
2020-05-28,1.29,0.6900000000000001,1.9000000000000001,1.0,1.5,2.052513853606829,2.052513853606829,0.0,0.0
2020-05-29,1.18,0.62,1.78,0.91,1.3900000000000001,1.873046083815326,1.873046083815326,0.0,0.0
2020-05-30,1.07,0.54,1.6600000000000001,0.78,1.25,1.6820260537009637,1.6820260537009637,2.0,2.0
2020-05-31,0.97,0.44,1.53,0.72,1.17,1.4822652290718732,1.4822652290718732,1.0,1.0
2020-06-01,0.88,0.37,1.43,0.63,1.07,1.2765002977782767,1.2765002977782767,13.0,13.0
2020-06-02,0.8,0.29,1.33,0.5700000000000001,1.0,1.0688877997536954,1.0688877997536954,1.0,1.0
2020-06-03,0.72,0.23,1.25,0.46,0.89,0.8656111636221853,0.8656111636221853,0.0,0.0
2020-06-04,0.65,0.18,1.18,0.42,0.84,0.6743574837739782,0.6743574837739782,0.0,0.0
2020-06-05,0.5700000000000001,0.09,1.08,0.32,0.74,0.5029033837636013,0.5029033837636013,1.0,1.0
2020-06-06,0.5,0.06,1.02,0.24,0.66,0.35741019211525904,0.35741019211525904,0.0,0.0
2020-06-07,0.43,0.02,0.9500000000000001,0.18,0.59,0.24111058472007343,0.24111058472007343,0.0,0.0
2020-06-08,0.36,0.0,0.9,0.12,0.52,0.1538491419659522,0.1538491419659522,1.0,1.0
