date,ML,Low_90,High_90,Low_50,High_50,adjustedCases,adjustedDomesticCases,confirmedOnlyCases,confirmedOnlyDomesticCases
2020-01-26,,,,,,,,0.0,0.0
2020-01-27,,,,,,,,0.0,0.0
2020-01-28,,,,,,,,1.0,1.0
2020-01-29,,,,,,,,0.0,0.0
2020-01-30,,,,,,,,1.0,1.0
2020-01-31,,,,,,,,0.0,0.0
2020-02-01,,,,,,,,0.0,0.0
2020-02-02,,,,,,,,0.0,0.0
2020-02-03,,,,,,,,0.0,0.0
2020-02-04,,,,,,,,0.0,0.0
2020-02-05,,,,,,,,0.0,0.0
2020-02-06,,,,,,,,1.0,1.0
2020-02-07,,,,,,,,0.0,0.0
2020-02-08,,,,,,,,0.0,0.0
2020-02-09,,,,,,,,0.0,0.0
2020-02-10,,,,,,,,0.0,0.0
2020-02-11,,,,,,,,0.0,0.0
2020-02-12,,,,,,,,0.0,0.0
2020-02-13,,,,,,,,0.0,0.0
2020-02-14,,,,,,,,0.0,0.0
2020-02-15,,,,,,,,0.0,0.0
2020-02-16,,,,,,,,0.0,0.0
2020-02-17,,,,,,,,0.0,0.0
2020-02-18,,,,,,,,0.0,0.0
2020-02-19,,,,,,,,0.0,0.0
2020-02-20,,,,,,,,0.0,0.0
2020-02-21,,,,,,,,0.0,0.0
2020-02-22,,,,,,,,0.0,0.0
2020-02-23,,,,,,,,0.0,0.0
2020-02-24,,,,,,,,0.0,0.0
2020-02-25,0.0001,0.0001,10.81,0.0001,6.01,2.170327242502105,2.170327242502105,0.0,0.0
2020-02-26,11.790000000000001,6.22,12.0,9.81,12.0,2.809140632287174,2.809140632287174,0.0,0.0
2020-02-27,11.77,7.74,12.0,10.370000000000001,11.950000000000001,3.594847673688016,3.594847673688016,0.0,0.0
2020-02-28,11.72,7.68,12.0,10.13,11.91,4.549662036385295,4.549662036385295,0.0,0.0
2020-02-29,8.77,6.25,11.74,7.37,9.92,5.691730553337953,5.691730553337953,0.0,0.0
2020-03-01,6.48,4.43,8.870000000000001,5.51,7.33,7.030163612328944,7.030163612328944,0.0,0.0
2020-03-02,5.16,3.71,6.78,4.46,5.72,8.559815729307214,8.559815729307214,0.0,0.0
2020-03-03,4.33,3.2600000000000002,5.54,3.79,4.73,10.25725996938843,10.25725996938843,0.0,0.0
2020-03-04,3.7600000000000002,2.87,4.67,3.33,4.07,12.079516554340575,12.079516554340575,1.0,1.0
2020-03-05,3.33,2.59,4.07,2.97,3.58,13.966621769977298,13.966621769977298,2.0,2.0
2020-03-06,2.98,2.38,3.63,2.66,3.18,15.848078701550286,15.848078701550286,1.0,1.0
2020-03-07,2.69,2.15,3.24,2.43,2.88,17.651930048213142,17.651930048213142,2.0,2.0
2020-03-08,2.44,1.94,2.91,2.2,2.6,19.314154859588122,19.314154859588122,2.0,2.0
2020-03-09,2.2,1.78,2.65,1.99,2.35,20.785810225922013,20.785810225922013,1.0,1.0
2020-03-10,2.0,1.58,2.38,1.79,2.12,22.036024627000643,22.036024627000643,2.0,2.0
2020-03-11,1.81,1.45,2.18,1.6500000000000001,1.95,23.05038626952765,23.05038626952765,1.0,1.0
2020-03-12,1.6500000000000001,1.3,1.98,1.48,1.76,23.825892654282605,23.825892654282605,2.0,2.0
2020-03-13,1.51,1.17,1.81,1.37,1.6300000000000001,24.364777990294147,24.364777990294147,2.0,2.0
2020-03-14,1.3900000000000001,1.08,1.68,1.23,1.48,24.669757486755927,24.669757486755927,2.0,2.0
2020-03-15,1.29,0.99,1.56,1.1300000000000001,1.37,24.742460388702703,24.742460388702703,15.0,15.0
2020-03-16,1.21,0.9400000000000001,1.48,1.05,1.28,24.585405560403032,24.585405560403032,15.0,15.0
2020-03-17,1.1300000000000001,0.87,1.3900000000000001,0.98,1.2,24.20638542153011,24.20638542153011,25.0,25.0
2020-03-18,1.07,0.8,1.31,0.9400000000000001,1.1500000000000001,23.623147844927303,23.623147844927303,11.0,11.0
2020-03-19,1.01,0.76,1.25,0.86,1.07,22.86615505345777,22.86615505345777,13.0,13.0
